2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
33956.98,35023.70,34425.64,33085.70,35101.40,35350.70,34127.44,31753.04,32052.03,31866.68,27970.47
25860.88,26192.90,22747.21,22331.80,24353.97,24354.72,23231.71,21423.43,23850.82,27484.76,24709.65
28731.23,26946.60,30812.06,31381.00,28828.37,33313.04,33808.98,32189.09,33042.31,33995.57,30990.34
30668.81,29514.00,30197.07,29770.00,31271.04,33604.46,43300.51,37086.11,33823.84,31639.92,37897.50
19762.00,19728.00,21144.20,21055.00,20493.45,21119.75,21167.72,20644.55,21770.89,22332.00,23257.00
25215.89,20493.70,20409.63,22218.10,23095.32,23780.19,22790.08,24439.76,23391.26,25326.92,24684.11
21273.24,21182.50,19633.96,17573.60,20371.91,17162.48,17294.67,17010.98,17726.59,17020.79,17810.69
17356.96,15944.80,14910.71,17968.90,15875.50,16012.15,17016.83,16829.71,19180.09,21324.54,19844.94
23474.62,22118.20,19631.55,22136.80,19381.46,20262.78,19773.04,19884.51,20303.62,20146.07,20804.46
15535.57,17766.60,17090.91,17163.10,17495.47,16162.12,17187.28,15762.99,19835.74,18292.27,21074.95
21412.68,22765.00,22811.16,23017.10,23964.34,26635.10,27581.38,26007.12,26045.40,26503.14,25607.66
25499.01,24934.20,25704.10,24182.00,24257.06,24572.50,25322.87,25683.70,24878.44,28001.46,27129.51
21023.90,21872.50,23303.13,24433.50,21024.65,22698.79,19409.81,20806.85,21451.36,22365.56,24951.65
19594.74,17597.30,20649.74,23350.80,22790.42,20619.92,20922.15,19812.57,23300.20,22347.34,25374.26
15662.72,16706.30,18126.65,18989.00,18913.56,20404.69,20198.98,18883.88,19563.16,19796.09,22995.02
23079.51,26070.70,23342.12,21782.60,21674.11,21437.44,19070.81,17035.88,18791.18,18968.49,23244.88
19733.75,18314.70,20789.55,20994.50,18156.85,19268.28,20782.66,21677.72,22470.73,23318.79,22385.63
16459.52,17696.90,17482.59,18153.50,17877.62,18601.09,19152.88,19717.14,20609.12,21775.45,22992.42
19531.06,18571.10,20227.36,20576.70,18413.18,17609.53,17543.55,15827.78,16939.41,17347.26,18122.59
16760.17,17253.20,17514.63,15083.90,19341.33,25367.36,22833.63,20122.78,22383.58,22171.08,25476.12
17220.34,17301.10,17186.70,15764.80,18221.02,18001.28,20738.75,18717.16,21385.86,22346.86,22164.77
12392.88,13450.40,14868.54,14146.10,13893.31,15919.02,14244.50,14557.73,14442.09,14776.76,17778.23
20409.22,21305.40,25876.36,26025.20,22498.78,20711.53,24962.41,24254.93,24502.62,24003.25,24918.74
18164.89,18565.40,22559.61,22876.70,21644.56,20806.50,20573.08,19664.33,23993.17,22694.64,22595.27
16953.24,16557.80,19510.69,18801.00,16909.17,20863.95,18755.08,19028.26,20424.16,19239.86,19674.71
19140.50,18469.40,20170.13,22154.20,20756.34,23061.47,20207.39,20789.27,22976.64,22242.70,21205.83
21452.15,22393.00,25914.62,21267.70,20184.45,21318.44,23513.15,19350.27,21821.30,20844.56,21527.18
14010.00,14066.00,15285.53,15268.21,15769.19,15329.12,15240.00,15644.02,16489.89,16441.00,17718.00
14585.38,11703.50,13731.68,11863.80,14455.34,15206.77,15468.58,15659.49,18887.48,17572.74,21414.90
17897.52,20380.70,20062.78,20549.90,20979.39,20055.79,18604.05,19115.37,20189.87,19929.95,19806.91
15193.60,15101.90,16020.52,15314.80,16883.51,16641.56,16645.81,17612.59,16375.99,15948.34,16644.73
12015.66,13550.20,15219.76,15814.50,16370.35,14799.30,14666.28,16355.07,14544.46,16530.72,19679.63
13958.50,15478.60,15454.61,16449.20,15617.89,14474.40,14843.86,15802.50,14822.23,15052.87,16795.61
13622.97,14078.30,13919.72,14165.20,14358.93,14298.53,15176.17,15269.79,16122.92,16649.76,18405.25
11483.66,11245.10,11835.15,13782.70,13100.65,12293.42,12751.80,12915.79,13217.25,12552.05,13028.46
11390.92,11068.20,11230.83,12074.60,12877.74,10440.72,11213.48,12635.31,11532.11,12907.69,12206.69
7878.90,7405.10,9686.13,12131.40,11859.40,12243.25,11536.21,11242.74,11606.13,12214.19,12816.26
