สุรินทร์,8094.6,11850,12257,11310.4923798568,18287.4,21351,20314.6,18188.9,20238.21,24008.81
ศรีสะเกษ,8745.02,9406,10782,10666.2402612247,13943.9,16207.2,18792.5,17484.66,16136.56,16568.69
อุบลราชธานี,11696.67,12035,14534,16747.4043389475,21659.6,22343.7,20452.5,24380.1,18397.86,20969.28
ยโสธร,9409.74,9969,10040,11813.4490842994,16766.8,14418.4,19517.9,16752.27,17768.39,19666.59
ชัยภูมิ,9161.32,11551,11253,12380.0119168018,15794.3,18641,23829.5,25543.6,20856.32,20280.25
อำนาจเจริญ,11422.9,13134,11889,14763.3826747286,15975.4,17272.8,21172.9,18230.69,20320.06,20814.25
หนองบัวลำภู,8317.9,11030,12824,14011.9944742494,17139.1,15390.4,22552.5,22647.58,18745.43,23867.04
ขอนแก่น,13087.69,11349,15065,19778.8005829494,16030.4,18095,21336.7,19848.04,19252.5,18028.45
อุดรธานี,10788.81,14097,17273,16684.2044479067,22017.3,25965.9,22817.4,20718.24,25766.53,22606.52
เลย,10013.09,12083,13765,13410.7873702574,17957.7,16337.6,20990.4,21076.99,25422.29,26532.42
หนองคาย,11465.55,12877,12885,14466.9690186521,16978.8,18057.9,21206.5,21175.28,20579.85,21574.78
มหาสารคาม,10178,13646,15812,19845.2374984473,25461.2,21643.8,18540.3,20137.94,22191.96,26542.15
ร้อยเอ็ด,9816.84,10849,11779,14931.9921845841,20167,20505.2,19990.4,19026.86,18818.99,17713.5
กาฬสินธุ์,8907.81,12445,12507,11747.7069921134,17292.9,13921.1,15451.6,14263.81,19088.97,19398.37
สกลนคร,8971.44,11295,11957,16679.2669681013,15326.2,16854.2,19280.9,17819.56,18451.97,22507.75
นครพนม,8168.42,9927,10009,12858.5623360341,14053.4,14310.4,15804.4,15834.42,23431.14,18524.55
มุกดาหาร,9284.05,13497,13406,17369.7816126461,19048.4,16494.4,22869.7,20439.56,18842.75,20607.88
ภาคใต้,14468.53,18668,19716,22926,27326,27504,26286,26913.09,25647.47,26621
นครศรีธรรมราช,14078.71,17377,18087,23295.8892863284,29970.4,27478.9,25124,26239.27,28412.35,31052.8
กระบี่,16876.96,18446,18852,23647.3683268016,33350.3,27275.8,31011.5,34052.87,28521.69,29840.64
พังงา,16965.02,25349,22211,22355.8444427097,24470.4,26167.7,28842.3,24631.91,22443.69,24593.65
ภูเก็ต,25081.96,25630,25084,28514.7343377956,26048,31857.4,31499.7,39593.56,36699.01,33328.16
สุราษฎร์ธานี,16150.29,21747,26207,30604,34416.6,36864.5,36465.6,38025.69,32014.02,34402.22
ระนอง,14327.52,18679,21620,19274,26048.7,32291.8,22034.7,23832.6,27600.25,21990.56
ชุมพร,11482.41,17244,19003,25179,28021.5,27540.2,29306.1,28758.67,29782,30598.05
สงขลา,15480.61,22093,22342,27356,26711.2,26824.1,27659.9,26702.74,20781.1,22691.4
สตูล,11825.93,14307,17328,20695,21046.8,25399.6,23208.5,22614.49,22253.58,23866.82
ตรัง,17038.25,20801,23650,21992,36245.2,33269.9,23309.1,21813.89,26004.22,24457.23
พัทลุง,14984.53,18045,18670,19381,25201.9,26169.3,21478.3,20508.68,20084.91,24084.1
ปัตตานี,11837.21,12547,11840,13511,16121.5,20199.1,17513,19495.51,22903.84,20691.69
ยะลา,11886.38,14354,13698,19619,21858.8,22483.1,15583.8,18018.21,16588.15,19181.87
นราธิวาส,9239.83,11586,13148,11244,16834.4,16772.8,19889.6,17179.61,17716.5,17512.02
